                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3947,                 2.7974,                 1.4931,                0.49536,                 0.3509,                0.37947,                 0.1647,                 1.8882,                 2.1797,                 1.8638,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2887,                 1.8359,                 1.4362,                0.57797,                0.40707,                 0.4312,                0.18498,                 1.9405,                 1.9966,                 1.9983,             0.00046514,             0.00046514,             0.00046514
                      3,                 1.2435,                 1.6508,                 1.4011,                0.58667,                0.46608,                0.48872,                0.22656,                 1.8568,                 1.9086,                 1.8509,             0.00068432,             0.00068432,             0.00068432
                      4,                 1.2178,                 1.5525,                  1.372,                0.57524,                0.46533,                0.46767,                0.20762,                 1.8908,                 1.8371,                 1.8558,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1947,                 1.4932,                 1.3571,                0.70922,                0.45583,                0.52316,                0.23349,                 1.9471,                 1.8542,                 1.8794,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.1741,                 1.4291,                  1.339,                0.64617,                0.55945,                0.59025,                0.27321,                 1.8413,                 1.6077,                  1.804,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.1556,                 1.3725,                  1.323,                0.71748,                0.52978,                0.58004,                0.25658,                 1.8896,                 1.6145,                 1.8602,             0.00064331,             0.00064331,             0.00064331
                      8,                  1.148,                 1.3336,                 1.3153,                0.68794,                0.54689,                0.58635,                0.27126,                 1.8088,                 1.6032,                 1.7812,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.1296,                 1.2866,                 1.3029,                0.74745,                0.56346,                0.62007,                 0.2897,                 1.7558,                 1.3876,                  1.747,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.1138,                 1.2432,                 1.2929,                0.70573,                 0.5462,                0.59728,                0.28972,                 1.7677,                 1.5382,                 1.7527,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.1046,                  1.214,                 1.2801,                0.77522,                0.56557,                0.63019,                0.30705,                 1.7723,                 1.3878,                 1.7507,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.0837,                 1.1829,                 1.2679,                 0.6952,                0.57278,                0.60956,                0.28691,                 1.8051,                 1.4365,                  1.753,             0.00057263,             0.00057263,             0.00057263
                     13,                  1.075,                 1.1628,                 1.2636,                0.80465,                0.57372,                0.65947,                0.33057,                  1.726,                 1.3494,                 1.7133,             0.00055849,             0.00055849,             0.00055849
                     14,                  1.066,                  1.138,                 1.2555,                 0.7678,                0.57431,                0.63145,                0.32058,                  1.706,                 1.3395,                 1.6715,             0.00054435,             0.00054435,             0.00054435
                     15,                  1.054,                 1.1281,                  1.253,                0.82709,                0.59494,                 0.6773,                0.36084,                  1.661,                 1.2238,                  1.678,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.0509,                 1.0905,                 1.2391,                0.81007,                0.59119,                0.65547,                0.32458,                 1.7571,                 1.2738,                 1.7454,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.0468,                 1.0813,                 1.2347,                0.74031,                0.56873,                0.63317,                 0.3343,                 1.6717,                  1.269,                 1.6816,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.0339,                 1.0547,                 1.2265,                0.80092,                0.63165,                0.68301,                0.36066,                 1.6628,                 1.1731,                 1.6584,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.0389,                 1.0431,                 1.2254,                0.77764,                0.62838,                0.69124,                0.35815,                 1.6856,                 1.1806,                 1.6519,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.0237,                 1.0259,                 1.2207,                 0.8013,                 0.6287,                0.69764,                0.37326,                 1.6497,                 1.1327,                 1.6355,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.0121,                 1.0115,                 1.2104,                0.82022,                0.60683,                0.68779,                0.37939,                 1.6026,                 1.1369,                 1.6079,             0.00044539,             0.00044539,             0.00044539
                     22,                 0.9967,                0.98367,                 1.2001,                0.86529,                0.62235,                0.70813,                0.37626,                 1.6604,                   1.12,                 1.6495,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.0057,                0.97798,                 1.2076,                0.80757,                0.63745,                0.69156,                0.37089,                 1.6177,                 1.1507,                 1.6512,             0.00041712,             0.00041712,             0.00041712
                     24,                0.98705,                  0.959,                 1.1959,                0.85665,                0.64108,                0.71765,                0.38673,                 1.6293,                 1.1031,                 1.6294,             0.00040298,             0.00040298,             0.00040298
                     25,                0.98089,                0.94972,                 1.1942,                0.84654,                0.61163,                0.70724,                0.38449,                  1.593,                 1.0898,                 1.6401,             0.00038884,             0.00038884,             0.00038884
                     26,                0.97349,                0.93753,                 1.1878,                0.79205,                0.65407,                0.72568,                0.39491,                 1.6199,                 1.0682,                 1.6381,             0.00037471,             0.00037471,             0.00037471
                     27,                0.96823,                0.93053,                 1.1806,                0.84443,                 0.6446,                0.73222,                0.40495,                 1.5659,                 1.0437,                 1.6009,             0.00036057,             0.00036057,             0.00036057
                     28,                0.95908,                0.90204,                 1.1752,                0.83617,                0.66351,                0.71431,                0.41209,                 1.4953,                 1.0501,                 1.5412,             0.00034643,             0.00034643,             0.00034643
                     29,                0.95732,                0.90458,                  1.176,                0.86573,                0.65831,                0.74272,                0.40793,                  1.613,                 1.0015,                 1.6249,              0.0003323,              0.0003323,              0.0003323
                     30,                0.94313,                 0.8938,                 1.1702,                0.87552,                0.66712,                0.73998,                0.42415,                 1.5199,                  1.012,                 1.5542,             0.00031816,             0.00031816,             0.00031816
                     31,                0.94225,                0.88429,                 1.1643,                0.81437,                0.68587,                0.74411,                0.42804,                 1.5195,                0.97269,                 1.5421,             0.00030402,             0.00030402,             0.00030402
                     32,                0.93675,                0.87141,                 1.1624,                0.85262,                0.65198,                0.74766,                0.42974,                 1.4896,                0.97643,                 1.5553,             0.00028988,             0.00028988,             0.00028988
                     33,                0.92669,                0.85614,                 1.1547,                0.88293,                0.66135,                0.74925,                0.43892,                 1.4384,                0.95358,                 1.4978,             0.00027575,             0.00027575,             0.00027575
                     34,                 0.9254,                0.85233,                 1.1505,                0.84757,                0.67188,                0.74261,                 0.4334,                 1.4438,                0.97387,                 1.5007,             0.00026161,             0.00026161,             0.00026161
                     35,                0.92899,                0.85096,                 1.1541,                0.85645,                0.66339,                0.74396,                 0.4324,                 1.4702,                0.98472,                 1.5267,             0.00024747,             0.00024747,             0.00024747
                     36,                 0.9148,                0.83788,                 1.1452,                0.83196,                0.67723,                0.75107,                0.43424,                 1.5084,                0.95463,                 1.5405,             0.00023334,             0.00023334,             0.00023334
                     37,                0.91057,                0.83349,                  1.143,                0.78932,                0.69475,                 0.7458,                0.43574,                 1.4537,                0.94146,                 1.5061,              0.0002192,              0.0002192,              0.0002192
                     38,                0.89995,                0.81997,                 1.1367,                0.88964,                0.66351,                0.75761,                0.44252,                 1.4479,                0.94152,                 1.5016,             0.00020506,             0.00020506,             0.00020506
                     39,                 0.8863,                0.80243,                 1.1323,                0.89139,                0.67849,                0.76405,                0.44716,                 1.4611,                0.91937,                 1.5141,             0.00019092,             0.00019092,             0.00019092
                     40,                0.89009,                0.80218,                 1.1334,                0.85613,                0.69207,                0.77099,                0.44026,                 1.4651,                0.91089,                 1.5169,             0.00017679,             0.00017679,             0.00017679
                     41,                0.91732,                0.74374,                 1.1435,                0.83426,                0.67295,                0.75172,                0.44907,                 1.4149,                 0.9174,                 1.4664,             0.00016265,             0.00016265,             0.00016265
                     42,                0.89179,                0.70458,                 1.1256,                0.88307,                0.68393,                0.76219,                0.45217,                 1.4104,                0.90643,                 1.4693,             0.00014851,             0.00014851,             0.00014851
                     43,                0.88022,                 0.6897,                 1.1235,                0.89328,                0.67137,                 0.7709,                0.45623,                 1.4234,                  0.887,                 1.4866,             0.00013437,             0.00013437,             0.00013437
                     44,                0.87617,                0.68145,                 1.1221,                0.85787,                0.68847,                0.77236,                0.44926,                 1.4607,                0.89249,                 1.5031,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.8707,                0.68382,                 1.1195,                0.86888,                0.69798,                0.77494,                0.45354,                 1.4691,                0.87576,                 1.5189,              0.0001061,              0.0001061,              0.0001061
                     46,                0.85828,                0.66602,                 1.1049,                0.86507,                0.69748,                0.77536,                0.46251,                 1.4397,                0.84626,                 1.4857,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.85378,                0.65911,                 1.1026,                0.87636,                0.69838,                0.78044,                0.45965,                 1.4295,                0.84686,                 1.4971,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.84771,                0.65676,                 1.1017,                0.88229,                 0.7027,                0.78034,                0.47184,                 1.3767,                0.84038,                 1.4628,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.83503,                0.64351,                 1.0946,                0.89419,                0.68624,                0.78392,                0.47128,                 1.4065,                0.84871,                 1.4742,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.82856,                0.64375,                 1.0974,                0.90163,                0.69014,                0.78632,                0.47468,                 1.3803,                0.83892,                 1.4614,             3.5414e-05,             3.5414e-05,             3.5414e-05
